Team 1,Team 2,Ground,Dates,Winner,Toss
KKR,RCB,Bangalore,4/18/08,KKR,RCB
CSK,KXIP,Mohali,4/19/08,CSK,CSK
RR,DD,Delhi,4/19/08,DD,RR
DC,KKR,Kolkata,4/20/08,KKR,DC
MI,RCB,Mumbai,4/20/08,RCB,MI
KXIP,RR,Jaipur,4/21/08,RR,KXIP
DC,DD,Hyderabad,4/22/08,DD,DC
CSK,MI,Chennai,4/23/08,CSK,MI
DC,RR,Hyderabad,4/24/08,RR,RR
KXIP,MI,Mohali,4/25/08,KXIP,MI
KKR,CSK,Chennai,4/26/08,CSK,KKR
RCB,RR,Bangalore,4/26/08,RR,RR
DD,KXIP,Mohali,4/27/08,KXIP,DD
MI,DC,Mumbai,4/27/08,DC,DC
CSK,RCB,Bangalore,4/28/08,CSK,CSK
KKR,MI,Kolkata,4/29/08,MI,KKR
DD,RCB,Delhi,4/30/08,DD,RCB
RR,KKR,Jaipur,5/1/08,RR,RR
DC,KXIP,Hyderabad,5/1/08,KXIP,KXIP
CSK,DD,Chennai,5/2/08,DD,CSK
RCB,DC,Bangalore,5/3/08,RCB,DC
KXIP,KKR,Mohali,5/3/08,KXIP,KXIP
MI,DD,Mumbai,5/4/08,MI,DD
CSK,RR,Jaipur,5/4/08,RR,CSK
RCB,KXIP,Bangalore,5/5/08,KXIP,KXIP
CSK,DC,Chennai,5/6/08,DC,DC
RR,MI,Mumbai,5/7/08,MI,MI
DD,CSK,Delhi,5/8/08,CSK,CSK
KKR,RCB,Kolkata,5/8/08,KKR,KKR
DC,RR,Jaipur,5/9/08,RR,RR
CSK,KXIP,Chennai,5/10/08,CSK,KXIP
KKR,DC,Hyderabad,5/11/08,KKR,KKR
DD,RR,Jaipur,5/11/08,RR,RR
RCB,KXIP,Mohali,5/12/08,KXIP,RCB
KKR,DD,Kolkata,5/13/08,KKR,KKR
CSK,MI,Mumbai,5/14/08,MI,MI
DD,DC,Delhi,5/15/08,DD,DC
KKR,MI,Mumbai,5/16/08,KKR,MI
RR,RCB,Jaipur,5/17/08,RR,RCB
DD,KXIP,Delhi,5/17/08,KXIP,DD
KKR,CSK,Kolkata,5/18/08,CSK,KKR
MI,DC,Hyderabad,5/18/08,MI,DC
RCB,DD,Bangalore,5/19/08,DD,DD
KKR,RR,Kolkata,5/20/08,RR,RR
KXIP,MI,Mumbai,5/21/08,KXIP,MI
RCB,CSK,Chennai,5/21/08,RCB,RCB
DD,KKR,Delhi,5/22/08,NA,NA
DC,KXIP,Mohali,5/23/08,KXIP,KXIP
RR,CSK,Chennai,5/24/08,RR,RR
MI,DD,Delhi,5/24/08,DD,DD
DC,RCB,Hyderabad,5/25/08,RCB,DC
KXIP,KKR,Kolkata,5/25/08,KKR,KXIP
MI,RR,Jaipur,5/26/08,RR,RR
DC,CSK,Hyderabad,5/27/08,CSK,DC
RCB,MI,Bangalore,5/28/08,MI,MI
KXIP,RR,Mohali,5/28/08,KXIP,RR
RR,DD,Mumbai,5/30/08,RR,DD
KXIP,CSK,Mumbai,5/31/08,CSK,KXIP
CSK,RR,Mumbai,6/1/08,RR,RR
MI,CSK,Cape Town,4/18/09,MI,CSK
RCB,RR,Cape Town,4/18/09,RCB,RCB
KXIP,DD,Cape Town,4/19/09,DD,DD
KKR,DC,Cape Town,4/19/09,DC,KKR
CSK,RCB,Port Elizabeth,4/20/09,CSK,CSK
KXIP,KKR,Durban,4/21/09,KKR,KKR
RR,MI,Durban,4/21/09,NA,NA
DC,RCB,Cape Town,4/22/09,DC,DC
DD,CSK,Durban,4/23/09,DD,DD
RR,KKR,Cape Town,4/23/09,RR,KKR
RCB,KXIP,Durban,4/24/09,KXIP,RCB
DC,MI,Durban,4/25/09,DC,DC
CSK,KKR,Cape Town,4/25/09,NA,NA
RCB,DD,Port Elizabeth,4/26/09,DD,RCB
KXIP,RR,Cape Town,4/26/09,KXIP,KXIP
CSK,DC,Durban,4/27/09,DC,DC
MI,KKR,Port Elizabeth,4/27/09,MI,MI
DD,RR,Centurion,4/28/09,RR,DD
KKR,RCB,Durban,4/29/09,RCB,KKR
KXIP,MI,Durban,4/29/09,KXIP,KXIP
DC,DD,Centurion,4/30/09,DD,DD
CSK,RR,Centurion,4/30/09,CSK,RR
MI,KKR,East London,5/1/09,MI,MI
RCB,KXIP,Durban,5/1/09,RCB,RCB
DC,RR,Port Elizabeth,5/2/09,RR,DC
CSK,DD,Johannesburg,5/2/09,CSK,DD
KKR,KXIP,Port Elizabeth,5/3/09,KXIP,KKR
MI,RCB,Johannesburg,5/3/09,RCB,MI
CSK,DC,East London,5/4/09,CSK,CSK
RR,KXIP,Durban,5/5/09,RR,KXIP
KKR,DD,Durban,5/5/09,DD,KKR
DC,MI,Centurion,5/6/09,DC,DC
RCB,RR,centurion,5/7/09,RR,RR
CSK,KXIP,centurion,5/7/09,CSK,CSK
MI,DD,East London,5/8/09,DD,MI
DC,KXIP,Kimberley,5/9/09,KXIP,KXIP
CSK,RR,Kimberley,5/9/09,CSK,RR
MI,RCB,Port Elizabeth,5/10/09,MI,MI
KKR,DD,Johannesburg,5/10/09,DD,DD
DC,RR,Kimberley,5/11/09,DC,DC
RCB,KKR,Centurion,5/12/09,RCB,RCB
MI,KXIP,Centurion,5/12/09,MI,KXIP
DD,DC,Durban,5/13/09,DD,DC
CSK,RCB,Durban,5/14/09,RCB,CSK
RR,MI,Durban,5/14/09,RR,RR
DD,KXIP,Bloemfontein,5/15/09,KXIP,KXIP
MI,CSK,Port Elizabeth,5/16/09,CSK,MI
KKR,DC,Johannesburg,5/16/09,DC,DC
KXIP,DC,Johannesburg,5/17/09,KXIP,DC
DD,RR,Bloemfontein,5/17/09,DD,DD
CSK,KKR,Centurion,5/18/09,KKR,CSK
DD,RCB,Johannesburg,5/19/09,RCB,DD
RR,KKR,Durban,5/20/09,KKR,KKR
CSK,KXIP,Durban,5/20/09,CSK,CSK
MI,DD,Centurion,5/21/09,DD,DD
RCB,DC,Centurion,5/21/09,RCB,RCB
DD,DC,Centurion,5/22/09,DC,DC
CSK,RCB,Johannesburg,5/23/09,RCB,RCB
